,varname,varlabel
126,ln_t400NTLpc2020,Trend log NTL per capita in 2020
127,co2015,Estimated carbon dioxide in 2015
128,co2016,Estimated carbon dioxide in 2016
129,co2017,Estimated carbon dioxide in 2017
130,co2018,Estimated carbon dioxide in 2018
131,co2019,Estimated carbon dioxide in 2019
132,co2020,Estimated carbon dioxide in 2020
133,tr400_co2015,Trend estimated carbon dioxide in 2015
134,tr400_co2016,Trend estimated carbon dioxide in 2016
135,tr400_co2017,Trend estimated carbon dioxide in 2017
136,tr400_co2018,Trend estimated carbon dioxide in 2018
137,tr400_co2019,Trend estimated carbon dioxide in 2019
138,tr400_co2020,Trend estimated carbon dioxide in 2020
139,airTemp2012.mean,Mean Air Temperature in Celcius in 2012
140,airTemp2013.mean,Mean Air Temperature in Celcius in 2013
141,airTemp2014.mean,Mean Air Temperature in Celcius in 2014
142,airTemp2015.mean,Mean Air Temperature in Celcius in 2015
143,airTemp2016.mean,Mean Air Temperature in Celcius in 2016
144,airTemp2017.mean,Mean Air Temperature in Celcius in 2017
145,airTemp2012.min,Minimum Air Temperature in Celcius in 2012
146,airTemp2013.min,Minimum Air Temperature in Celcius in 2013
147,airTemp2014.min,Minimum Air Temperature in Celcius in 2014
148,airTemp2015.min,Minimum Air Temperature in Celcius in 2015
149,airTemp2016.min,Minimum Air Temperature in Celcius in 2016
150,airTemp2017.min,Minimum Air Temperature in Celcius in 2017
151,airTemp2012.max,Maximum Air Temperature in Celcius in 2012
152,airTemp2013.max,Maximum Air Temperature in Celcius in 2013
153,airTemp2014.max,Maximum Air Temperature in Celcius in 2014
154,airTemp2015.max,Maximum Air Temperature in Celcius in 2015
155,airTemp2016.max,Maximum Air Temperature in Celcius in 2016
156,airTemp2017.max,Maximum Air Temperature in Celcius in 2017
157,distancedistanceCoast2017mean,Mean distance to coast in meters in 2017
158,distancedistanceCoast2017max,Max distance to coast in meters in 2017
159,distancedistanceCoast2017min,Min distance to coast in meters in 2017
160,distanceDia2017min,Min distance to diamond deposits in meters in 2017
161,distanceDia2017mean,Mean distance to diamond deposits in meters in 2017
162,distanceDia2017max,Max distance to diamond deposits in meters in 2017
163,drugCult_count2017,Total area in polygons in 2017
164,drugCult_none2017,Area without drug cultivation in polygons in 2017
165,drugCult_coca_bush2017,Area with coca bush cultivation in polygons in 2017
166,distanceDrug2017mean,Mean distance to drug cultivation sites in meters in 2017
167,distanceDrug2017max,Max distance to drug cultivation sites in meters in 2017
168,distanceDrug2017min,Min distance to drug cultivation sites in meters in 2017
169,esaLandCover2012_grassland,grassland ESA land cover classification in polygons in 2012
170,esaLandCover2012_count,count ESA land cover classification in polygons in 2012
171,esaLandCover2012_sparse_vegetation,sparse vegetation ESA land cover classification in polygons in 2012
172,esaLandCover2012_bare_areas,bare areas ESA land cover classification in polygons in 2012
173,esaLandCover2012_shrubland,shrubland ESA land cover classification in polygons in 2012
174,esaLandCover2012_no_data,no data ESA land cover classification in polygons in 2012
175,esaLandCover2012_rainfed_cropland,rainfed cropland ESA land cover classification in polygons in 2012
176,esaLandCover2012_water_bodies,water bodies ESA land cover classification in polygons in 2012
177,esaLandCover2012_forest,forest ESA land cover classification in polygons in 2012
178,esaLandCover2012_wetland,wetland ESA land cover classification in polygons in 2012
179,esaLandCover2012_mosaic_cropland,mosaic cropland ESA land cover classification in polygons in 2012
180,esaLandCover2012_irrigated_cropland,irrigated cropland ESA land cover classification in polygons in 2012
181,esaLandCover2012_snow_ice,snow ice ESA land cover classification in polygons in 2012
182,esaLandCover2012_urban,urban ESA land cover classification in polygons in 2012
183,esaLandCover2013_grassland,grassland ESA land cover classification in polygons in 2013
184,esaLandCover2013_count,count ESA land cover classification in polygons in 2013
185,esaLandCover2013_sparse_vegetation,sparse vegetation ESA land cover classification in polygons in 2013
186,esaLandCover2013_bare_areas,bare areas ESA land cover classification in polygons in 2013
187,esaLandCover2013_shrubland,shrubland ESA land cover classification in polygons in 2013
188,esaLandCover2013_no_data,no data ESA land cover classification in polygons in 2013
189,esaLandCover2013_rainfed_cropland,rainfed cropland ESA land cover classification in polygons in 2013
190,esaLandCover2013_water_bodies,water bodies ESA land cover classification in polygons in 2013
191,esaLandCover2013_forest,forest ESA land cover classification in polygons in 2013
192,esaLandCover2013_wetland,wetland ESA land cover classification in polygons in 2013
193,esaLandCover2013_mosaic_cropland,mosaic cropland ESA land cover classification in polygons in 2013
194,esaLandCover2013_irrigated_cropland,irrigated cropland ESA land cover classification in polygons in 2013
195,esaLandCover2013_snow_ice,snow ice ESA land cover classification in polygons in 2013
196,esaLandCover2013_urban,urban ESA land cover classification in polygons in 2013
197,esaLandCover2014_grassland,grassland ESA land cover classification in polygons in 2014
198,esaLandCover2014_count,count ESA land cover classification in polygons in 2014
199,esaLandCover2014_sparse_vegetation,sparse vegetation ESA land cover classification in polygons in 2014
200,esaLandCover2014_bare_areas,bare areas ESA land cover classification in polygons in 2014
201,esaLandCover2014_shrubland,shrubland ESA land cover classification in polygons in 2014
202,esaLandCover2014_no_data,no data ESA land cover classification in polygons in 2014
203,esaLandCover2014_rainfed_cropland,rainfed cropland ESA land cover classification in polygons in 2014
204,esaLandCover2014_water_bodies,water bodies ESA land cover classification in polygons in 2014
205,esaLandCover2014_forest,forest ESA land cover classification in polygons in 2014
206,esaLandCover2014_wetland,wetland ESA land cover classification in polygons in 2014
207,esaLandCover2014_mosaic_cropland,mosaic cropland ESA land cover classification in polygons in 2014
208,esaLandCover2014_irrigated_cropland,irrigated cropland ESA land cover classification in polygons in 2014
209,esaLandCover2014_snow_ice,snow ice ESA land cover classification in polygons in 2014
210,esaLandCover2014_urban,urban ESA land cover classification in polygons in 2014
211,esaLandCover2015_grassland,grassland ESA land cover classification in polygons in 2015
212,esaLandCover2015_count,count ESA land cover classification in polygons in 2015
213,esaLandCover2015_sparse_vegetation,sparse vegetation ESA land cover classification in polygons in 2015
214,esaLandCover2015_bare_areas,bare areas ESA land cover classification in polygons in 2015
215,esaLandCover2015_shrubland,shrubland ESA land cover classification in polygons in 2015
216,esaLandCover2015_no_data,no data ESA land cover classification in polygons in 2015
217,esaLandCover2015_rainfed_cropland,rainfed cropland ESA land cover classification in polygons in 2015
218,esaLandCover2015_water_bodies,water bodies ESA land cover classification in polygons in 2015
219,esaLandCover2015_forest,forest ESA land cover classification in polygons in 2015
220,esaLandCover2015_wetland,wetland ESA land cover classification in polygons in 2015
221,esaLandCover2015_mosaic_cropland,mosaic cropland ESA land cover classification in polygons in 2015
222,esaLandCover2015_irrigated_cropland,irrigated cropland ESA land cover classification in polygons in 2015
223,esaLandCover2015_snow_ice,snow ice ESA land cover classification in polygons in 2015
224,esaLandCover2015_urban,urban ESA land cover classification in polygons in 2015
225,esaLandCover2016_grassland,grassland ESA land cover classification in polygons in 2016
226,esaLandCover2016_count,count ESA land cover classification in polygons in 2016
227,esaLandCover2016_sparse_vegetation,sparse vegetation ESA land cover classification in polygons in 2016
228,esaLandCover2016_bare_areas,bare areas ESA land cover classification in polygons in 2016
229,esaLandCover2016_shrubland,shrubland ESA land cover classification in polygons in 2016
230,esaLandCover2016_no_data,no data ESA land cover classification in polygons in 2016
231,esaLandCover2016_rainfed_cropland,rainfed cropland ESA land cover classification in polygons in 2016
232,esaLandCover2016_water_bodies,water bodies ESA land cover classification in polygons in 2016
233,esaLandCover2016_forest,forest ESA land cover classification in polygons in 2016
234,esaLandCover2016_wetland,wetland ESA land cover classification in polygons in 2016
235,esaLandCover2016_mosaic_cropland,mosaic cropland ESA land cover classification in polygons in 2016
236,esaLandCover2016_irrigated_cropland,irrigated cropland ESA land cover classification in polygons in 2016
237,esaLandCover2016_snow_ice,snow ice ESA land cover classification in polygons in 2016
238,esaLandCover2016_urban,urban ESA land cover classification in polygons in 2016
239,modis_agriculture_2012,"agricultural land MODIS, total pixels divided by green Pixels in 2012"
240,modis_total_area_2012,total pixels in 2012
241,modis_urban_2012,"urban land MODIS, total pixels divided by gray Pixels in 2012"
242,modis_agriculture_2013,"agricultural land MODIS, total pixels divided by green Pixels in 2013"
243,modis_total_area_2013,total pixels in 2013
244,modis_urban_2013,"urban land MODIS, total pixels divided by gray Pixels in 2013"
245,modis_agriculture_2014,"agricultural land MODIS, total pixels divided by green Pixels in 2014"
246,modis_total_area_2014,total pixels in 2014
247,modis_urban_2014,"urban land MODIS, total pixels divided by gray Pixels in 2014"
248,modis_agriculture_2015,"agricultural land MODIS, total pixels divided by green Pixels in 2015"
249,modis_total_area_2015,total pixels in 2015
250,modis_urban_2015,"urban land MODIS, total pixels divided by gray Pixels in 2015"
251,modis_agriculture_2016,"agricultural land MODIS, total pixels divided by green Pixels in 2016"
252,modis_total_area_2016,total pixels in 2016
253,modis_urban_2016,"urban land MODIS, total pixels divided by gray Pixels in 2016"
254,ghsl2015,pixel sum of the Global Human Settlement Layer population count in 2015
255,gisa2012,Global Impervious Surface area by pixel in 2012
256,gisa2013,Global Impervious Surface area by pixel in 2013
257,gisa2014,Global Impervious Surface area by pixel in 2014
258,gisa2015,Global Impervious Surface area by pixel in 2015
259,gisa2016,Global Impervious Surface area by pixel in 2016
260,gisa2017,Global Impervious Surface area by pixel in 2017
261,gisa2018,Global Impervious Surface area by pixel in 2018
262,gisa2019,Global Impervious Surface area by pixel in 2019
263,travelTimeCity2016mean,mean distance to major city in minutes in 2016
264,travelTimeCity2016max,max distance to major city in minutes in 2016
265,travelTimeCity2016min,min distance to major city in minutes in 2016
266,map_pf_incidence_rate.2012.max,max malaria rate per 1000 people in 2012
267,map_pf_incidence_rate.2013.max,max malaria rate per 1000 people in 2013
268,map_pf_incidence_rate.2014.max,max malaria rate per 1000 people in 2014
269,map_pf_incidence_rate.2015.max,max malaria rate per 1000 people in 2015
270,map_pf_incidence_rate.2016.max,max malaria rate per 1000 people in 2016
271,map_pf_incidence_rate.2017.max,max malaria rate per 1000 people in 2017
272,map_pf_incidence_rate.2018.max,max malaria rate per 1000 people in 2018
273,map_pf_incidence_rate.2019.max,max malaria rate per 1000 people in 2019
274,map_pf_incidence_rate.2012.mean,mean malaria rate per 1000 people in 2012
275,map_pf_incidence_rate.2013.mean,mean malaria rate per 1000 people in 2013
276,map_pf_incidence_rate.2014.mean,mean malaria rate per 1000 people in 2014
277,map_pf_incidence_rate.2015.mean,mean malaria rate per 1000 people in 2015
278,map_pf_incidence_rate.2016.mean,mean malaria rate per 1000 people in 2016
279,map_pf_incidence_rate.2017.mean,mean malaria rate per 1000 people in 2017
280,map_pf_incidence_rate.2018.mean,mean malaria rate per 1000 people in 2018
281,map_pf_incidence_rate.2019.mean,mean malaria rate per 1000 people in 2019
282,map_pf_incidence_rate.2012.min,min malaria rate per 1000 people in 2012
283,map_pf_incidence_rate.2013.min,min malaria rate per 1000 people in 2013
284,map_pf_incidence_rate.2014.min,min malaria rate per 1000 people in 2014
285,map_pf_incidence_rate.2015.min,min malaria rate per 1000 people in 2015
286,map_pf_incidence_rate.2016.min,min malaria rate per 1000 people in 2016
287,map_pf_incidence_rate.2017.min,min malaria rate per 1000 people in 2017
288,map_pf_incidence_rate.2018.min,min malaria rate per 1000 people in 2018
289,map_pf_incidence_rate.2019.min,min malaria rate per 1000 people in 2019
290,cru_ts_405_pre_yearly_mean.2012.min,min precipitation in millimeters in 2012
291,cru_ts_405_pre_yearly_mean.2012.mean,mean precipitation in millimeters in 2012
292,cru_ts_405_pre_yearly_mean.2012.max,max precipitation in millimeters in 2012
293,cru_ts_405_pre_yearly_mean.2013.min,min precipitation in millimeters in 2013
294,cru_ts_405_pre_yearly_mean.2013.mean,mean precipitation in millimeters in 2013
295,cru_ts_405_pre_yearly_mean.2013.max,max precipitation in millimeters in 2013
296,cru_ts_405_pre_yearly_mean.2014.min,min precipitation in millimeters in 2014
297,cru_ts_405_pre_yearly_mean.2014.mean,mean precipitation in millimeters in 2014
298,cru_ts_405_pre_yearly_mean.2014.max,max precipitation in millimeters in 2014
299,cru_ts_405_pre_yearly_mean.2015.min,min precipitation in millimeters in 2015
300,cru_ts_405_pre_yearly_mean.2015.mean,mean precipitation in millimeters in 2015
301,cru_ts_405_pre_yearly_mean.2015.max,max precipitation in millimeters in 2015
302,cru_ts_405_pre_yearly_mean.2016.min,min precipitation in millimeters in 2016
303,cru_ts_405_pre_yearly_mean.2016.mean,mean precipitation in millimeters in 2016
304,cru_ts_405_pre_yearly_mean.2016.max,max precipitation in millimeters in 2016
305,cru_ts_405_pre_yearly_mean.2017.min,min precipitation in millimeters in 2017
306,cru_ts_405_pre_yearly_mean.2017.mean,mean precipitation in millimeters in 2017
307,cru_ts_405_pre_yearly_mean.2017.max,max precipitation in millimeters in 2017
308,cru_ts_405_pre_yearly_mean.2018.min,min precipitation in millimeters in 2018
309,cru_ts_405_pre_yearly_mean.2018.mean,mean precipitation in millimeters in 2018
310,cru_ts_405_pre_yearly_mean.2018.max,max precipitation in millimeters in 2018
311,cru_ts_405_pre_yearly_mean.2019.min,min precipitation in millimeters in 2019
312,cru_ts_405_pre_yearly_mean.2019.mean,mean precipitation in millimeters in 2019
313,cru_ts_405_pre_yearly_mean.2019.max,max precipitation in millimeters in 2019
314,cru_ts_405_pre_yearly_mean.2020.min,min precipitation in millimeters in 2020
315,cru_ts_405_pre_yearly_mean.2020.mean,mean precipitation in millimeters in 2020
316,cru_ts_405_pre_yearly_mean.2020.max,max precipitation in millimeters in 2020
317,modis_landcover_51.2012.categorical_barren_or_sparsely_vegetated,barren or sparsely vegetated categorical MODIS in 2012
318,modis_landcover_51.2012.categorical_count,count categorical MODIS in 2012
319,modis_landcover_51.2012.categorical_grasslands,grasslands categorical MODIS in 2012
320,modis_landcover_51.2012.categorical_open_shrublands,open shrublands categorical MODIS in 2012
321,modis_landcover_51.2012.categorical_water,water categorical MODIS in 2012
322,modis_landcover_51.2012.categorical_evergreen_needleleaf_forest,evergreen needleleaf forest categorical MODIS in 2012
323,modis_landcover_51.2012.categorical_evergreen_broadleaf_forest,evergreen broadleaf forest categorical MODIS in 2012
324,modis_landcover_51.2012.categorical_deciduous_needleleaf_forest,deciduous needleleaf forest categorical MODIS in 2012
325,modis_landcover_51.2012.categorical_deciduous_broadleaf_forest,deciduous broadleaf forest categorical MODIS in 2012
326,modis_landcover_51.2012.categorical_mixed_forest,mixed forest categorical MODIS in 2012
327,modis_landcover_51.2012.categorical_closed_shrublands,closed shrublands categorical MODIS in 2012
328,modis_landcover_51.2012.categorical_woody_savannas,woody savannas categorical MODIS in 2012
329,modis_landcover_51.2012.categorical_savannas,savannas categorical MODIS in 2012
330,modis_landcover_51.2012.categorical_permanent_wetlands,permanent wetlands categorical MODIS in 2012
331,modis_landcover_51.2012.categorical_croplands,croplands categorical MODIS in 2012
332,modis_landcover_51.2012.categorical_urban_and_builtup,urban and builtup categorical MODIS in 2012
333,modis_landcover_51.2012.categorical_cropland_natural_vegetation_mosaic,cropland natural vegetation mosaic categorical MODIS in 2012
334,modis_landcover_51.2012.categorical_snow_and_ice,snow and ice categorical MODIS in 2012
335,photov2019mean,mean photovoltaic potential in kWh/kWp in 2019
336,photov2019max,max photovoltaic potential in kWh/kWp in 2019
337,photov2019min,min photovoltaic potential in kWh/kWp in 2019
338,elev2017mean,Mean elevation in meters in 2017
339,elev2017max,Max elevation in meters in 2017
340,elev2017min,Min elevation in meters in 2017
341,distanceRoad2017mean,mean distance to road in meters in 2017
342,distanceRoad2017max,max distance to road in meters in 2017
343,distanceRoad2017min,min distance to road in meters in 2017
344,slope500m2017mean,mean slope in degrees in 2017
345,slope500m2017max,max slope in degrees in 2017
346,slope500m2017min,min slope in degrees in 2017
347,dist_water2017mean,mean distance to water in meters in 2017
348,dist_water2017max,max distance to water in meters in 2017
349,dist_water2017min,min distance to water in meters in 2017
